date,site_id,region,pm25,pm10,ozone,no2,so2,co,aqi,wildfire_smoke
2019-01-01,PHX_CENTRAL,phoenix_metro,17.74606283596093,21.957566832671922,38.20159902373998,19.884084576083573,2.3203099851393296,1.319823636115478,24.232805451287398,0
2019-01-02,PHX_CENTRAL,phoenix_metro,17.1504942030751,23.58174994826149,47.996048272934196,16.217029195787553,0.5556781458915266,0.3275435410558984,37.859411820917245,0
2019-01-03,PHX_CENTRAL,phoenix_metro,16.01746229063985,19.368721521376823,45.715404984200894,16.864289125492633,0.20540285127296515,0.9130217281732873,28.14387659752819,0
2019-01-04,PHX_CENTRAL,phoenix_metro,14.409503896994678,19.290333705184782,37.0146820890063,18.099855161754338,1.6364052348503204,0.4523508561662228,23.293162804078204,0
2019-01-05,PHX_CENTRAL,phoenix_metro,17.002845653160573,25.15728394500083,42.15185491284254,17.916450024711715,1.7153890880019658,0.2182073446109161,33.23824611918152,0
2019-01-06,PHX_CENTRAL,phoenix_metro,20.637468393701642,25.508763507375235,42.576208926105984,16.76609809920384,1.2092488484344204,0.4132320098223672,15.369810550408204,0
2019-01-07,PHX_CENTRAL,phoenix_metro,18.549821513569388,28.851165324710976,40.61738537357732,15.788289520834246,0.3376232498064926,0.6490958703174373,26.436313811955053,0
2019-01-08,PHX_CENTRAL,phoenix_metro,17.336759874090497,27.111218454179923,45.08740194322718,16.77119904998968,0.9394622216863204,0.7643583707007142,25.118309968419194,0
2019-01-09,PHX_CENTRAL,phoenix_metro,18.573917309556876,23.0687337898177,45.32693255339271,14.775723742185827,0.19142544003846024,0.6612390975919807,23.211060983246373,0
2019-01-10,PHX_CENTRAL,phoenix_metro,15.07233992774787,24.05987033669806,41.23805720877958,16.228200578296175,0.37486069310345577,0.19695906961261642,17.076316367873954,0
2019-01-11,PHX_CENTRAL,phoenix_metro,14.729337134791699,19.428169801560504,40.876523016809365,14.336038701253008,2.5956085853557433,0.111920350365132,22.417824441692147,0
2019-01-12,PHX_CENTRAL,phoenix_metro,14.130537239085045,17.432005405219833,47.995833850670124,13.328677539879548,0.49948640507622827,0.13041553581125492,28.417950842982897,0
2019-01-13,PHX_CENTRAL,phoenix_metro,15.686783443076406,18.85593482281162,45.73135556944895,16.075640146209164,2.090346136677234,0.35399802403453345,24.59958950145887,0
2019-01-14,PHX_CENTRAL,phoenix_metro,14.9449852582273,20.37612977180846,42.28944155963354,17.893416836007507,1.280171690204233,0.8994972930802865,28.22909029532925,0
2019-01-15,PHX_CENTRAL,phoenix_metro,19.020686851630348,27.61659162761476,35.48316384367978,17.38870696239409,3.6407676831691025,0.9614387975830265,26.0360876167297,0
2019-01-16,PHX_CENTRAL,phoenix_metro,14.811691455794527,19.742084369987488,43.37600042522014,15.877131556411587,1.233018766638344,0.234086184478253,30.197913253621554,0
2019-01-17,PHX_CENTRAL,phoenix_metro,13.993195709437709,21.475174790753858,44.79233385967067,18.620484547263246,1.158088808564249,0.47780014281579536,22.21534900907639,0
2019-01-18,PHX_CENTRAL,phoenix_metro,20.85644294707658,31.0060746972277,30.98191348640651,15.14640791373014,0.08796476957445445,0.04425451758248434,16.56065322879741,0
2019-01-19,PHX_CENTRAL,phoenix_metro,14.87156192229664,19.92885386894351,43.0074777932721,13.123251007302965,0.38916849352882443,0.29817345153523217,16.42203783324076,0
